Group,Ideology,Website,ExternalLinksToSite,OwnersOtherDomains,SiteDescription,OnlineSince,SiteTitle,ThreeMonthAvgUSRank,PageViewsPerMillion,PageViewsPerUser,ContributingSubdomains,HighestRankSitesLinkingTo
Panzerfaust Records,Hate Music & Neo-Nazi,www.panzerfaust.com,18,,,29-Jun-1998,panzerfaust.com/,,,,,
Family Security Matters,Anti-Muslim,www.familysecuritymatters.org/,1858,,"To fiind out about ad space: PR@FamilySecurityMatters.org For questions about the Family Security Foundation, Inc.: Carol@FamilySecurityMatters.org For questions about the website: Nancy@FamilySecurityMatters.org ... For questions about internship opportunities: Nancy@FamilySecurityMatters.org",06-Jul-2003,Familysecuritymatters.org,620657,0.03,1.7,familysecuritymatters.org,
American Front,Hate Music & Neo-Nazi,www.americanfront.org,5,,,,americanfront.org/,,,,,
A light on Campus,Holocaust Denial,www.alightoncampus.com,8,,,,alightoncampus.com/,,,,,
Vdare,White Nationalist,vdare.com,3193,vdare.org,,,VDARE,82880,0.58,2.6,vdare.com,"cnn.com:80/2016/02/04/us/beyond-the-border-life-in-limbo/index.html, bbc.co.uk:80/blogs/newsnight/2007/11/the_big_immigration_debate.html, breitbart.com:80/big-government/2015/07/19/14-facts-the-tanking-women-in-tech-movement-doesnt-want-you-to-know, huffingtonpost.com:80/2012/05/15/john-derbyshire-latest-racist-rant_n_1518815.html, businessinsider.com:80/the-media-is-getting-the-trayvon-martin-story-wrong-2012-3, ign.com:80/boards/threads/is-franz-boas-a-scientific-fraud.452870377, goodreads.com:80/book/show/3040.Black_Rednecks_White_Liberals, telegraph.co.uk:80/news/2017/02/07/steve-bannon-shares-fascists-obsession-cleansing-apocalyptic, io9.gizmodo.com:80/how-did-edgar-allan-poe-manage-to-describe-the-big-bang-1682442837, mitsloan.mit.edu:80/faculty-and-research/faculty-news-and-honors/faculty-in-the-news-archive, conservativetribune.com:80/texas-sanctuary-city-bombshell, cnbc.com:80/2017/04/05/why-the-alt-right-loves-single-payer-health-care-commentary.html, npr.org:80/sections/codeswitch/2017/08/17/543880487/the-trickle-up-theory-of-white-nationalist-thought, automatesintelligent.blog.lemonde.fr:80/2007/09, www-formal.stanford.edu:80/jmc/html/all.html, latimes.com:80/nation/la-ol-birthright-citizenship-21st-century-citizen-20141029-story.html, gakumon-matomeread.doorblog.jp:80/archives/26233566.html, thehill.com:80/blogs/pundits-blog/the-administration/350015-republican-criticism-of-trump-doesnt-go-far-enough, nbcnews.com:80/news/us-news/hillary-clinton-draws-cheers-criticism-future-female-line-n717736, politico.com:80/magazine/story/2013/12/war-on-christmas-short-history-101222?o=1"
Rense Radio,White Nationalist,rense.com,12054,"adminsites.com, alpacaheritage.com, alwaysselena.org, anw.com, blueyonderband.com, buymysocks.com, coachpokey.com, ericksonfarm.com, freshwaterprawn.org, istanbulmuseum.org, jorika.com, kerryparkislanders.com, kyonsi.com, lambersonmouthpieces.com, lightinfo.org, lionkhat.com, miesencorp.com, mobilehomeparks4sale.us, motionforyou.com, pbpropertymgt.com, renseradio.com, thehostpros.com, ufotheatre.com, utahpublicautoauction.com, webbiennial.org",Provides UFO talk and political intrigue all seven nights a week along with special guests.,10-Mar-1999,The Jeff Rense Program,27170,1.33,1.31,rense.com,"blog.sina.com.cn:80/s/blog_5c482f5e0102ds8y.html, msn.com:80/en-ph/entertainment/celebrity/17-celebs-who-totally-believe-in-aliens-and-had-encounters-with-them-too/ss-AAkPDZQ, c2c.wikia.com:80/wiki/Art_Bell, blogs.adobe.com:80/jnack/2006, cnn.com:80/2016/02/13/politics/republican-debate-fact-check/index.html, blog.naver.com:80/PostView.nhn?blogId=cinemaorbit&logNo=90062341193&redirect=Dlog&widgetTypeCall=true, 1tamachan.blog31.fc2.com:80/blog-entry-13248.html, forum.detik.com:80/inilah-para-penyandang-dana-jokowi-untuk-menjadi-presiden-boneka-t830378p3.html, washingtonpost.com:80/wp-dyn/articles/A59206-2005Mar23.html, ar.wikihow.com:80/زيادة-قلوية-جسدك, daikynguyenvn.com:80/khoa-hoc-cong-nghe/nguoi-ngoai-hanh-tinh-song-am-tham-giua-chung-ta-nha-khoa-hoc-va-quan-chuc-chinh-phu-tuyen-bo.html, breitbart.com:80/big-journalism/2016/02/19/trump-in-2002-on-support-of-iraq-war-yeah-i-guess-so, huffingtonpost.com:80/2011/09/07/brenda-berkman-women-9-11_n_951726.html, ameblo.jp:80/et-eo/entry-11998475136.html, web.archive.org:80/web/20000817011330/azwest.net/user/slim, cafe.daum.net:80/_c21_/bbs_search_read?grpid=4Vc&fldid=31Ik&datanum=2241&q=spi&_referer=V7kfJwkeLEGMZxGlgqZEmRGkvXxWc32y, businessinsider.com:80/antarctica-lake-vostok-theory-2012-2?op=1, goodreads.com:80/book/show/27745089-nobody-died-at-sandy-hook, gnu-darwin.sourceforge.net:80/index.php?page=distantly-related, telegraph.co.uk:80/news/2016/08/25/the-left-has-nothing-to-offer-voters-who-have-been-left-behind"
"Golden Dawn - Astoria, NY",Hate Music & Neo-Nazi,https://xaameriki.wordpress.com/,147,,,,xaameriki.wordpress.com/,3296146,0,1,xaameriki.wordpress.com,
www.wpww.net/,Hate Music & Neo-Nazi,https://www.wpww.net/,11,,,26-Apr-2002,wpww.net/,9073139,0,1,,
White Knights of the Ku Klux Klan of America,KKK,https://www.whiteknightsofthekukluxklanofamerica.com/,,,,,whiteknightsofthekukluxklanofamerica.com/,,,,,
VDARE,White Nationalist,https://www.vdare.com,3193,vdare.org,,,VDARE,82880,0.58,2.6,vdare.com,
