Group,Ideology,Website,ExternalLinksToSite,OwnersOtherDomains,SiteDescription,OnlineSince,SiteTitle,ThreeMonthAvgUSRank,PageViewsPerMillion,PageViewsPerUser,ContributingSubdomains
Panzerfaust Records,Hate Music & Neo-Nazi,www.panzerfaust.com,18,,,29-Jun-1998,panzerfaust.com/,,,,
Family Security Matters,Anti-Muslim,www.familysecuritymatters.org/,1858,,"To fiind out about ad space: PR@FamilySecurityMatters.org For questions about the Family Security Foundation, Inc.: Carol@FamilySecurityMatters.org For questions about the website: Nancy@FamilySecurityMatters.org ... For questions about internship opportunities: Nancy@FamilySecurityMatters.org",06-Jul-2003,Familysecuritymatters.org,629697,0.03,1.7,DataUrl
American Front,Hate Music & Neo-Nazi,www.americanfront.org,5,,,,americanfront.org/,,,,
A light on Campus,Holocaust Denial,www.alightoncampus.com,8,,,,alightoncampus.com/,,,,
Vdare,White Nationalist,vdare.com,3193,"{u'OwnedDomain': {u'Domain': u'vdare.org', u'Title': u'vdare.org'}}",,,VDARE,83182,0.57,2.6,DataUrl
Rense Radio,White Nationalist,rense.com,12054,"{u'OwnedDomain': [{u'Domain': u'adminsites.com', u'Title': u'adminsites.com'}, {u'Domain': u'alpacaheritage.com', u'Title': u'alpacaheritage.com'}, {u'Domain': u'alwaysselena.org', u'Title': u'alwaysselena.org'}, {u'Domain': u'anw.com', u'Title': u'anw.com'}, {u'Domain': u'blueyonderband.com', u'Title': u'blueyonderband.com'}, {u'Domain': u'buymysocks.com', u'Title': u'buymysocks.com'}, {u'Domain': u'coachpokey.com', u'Title': u'coachpokey.com'}, {u'Domain': u'ericksonfarm.com', u'Title': u'ericksonfarm.com'}, {u'Domain': u'freshwaterprawn.org', u'Title': u'freshwaterprawn.org'}, {u'Domain': u'istanbulmuseum.org', u'Title': u'istanbulmuseum.org'}, {u'Domain': u'jorika.com', u'Title': u'jorika.com'}, {u'Domain': u'kerryparkislanders.com', u'Title': u'kerryparkislanders.com'}, {u'Domain': u'kyonsi.com', u'Title': u'kyonsi.com'}, {u'Domain': u'lambersonmouthpieces.com', u'Title': u'lambersonmouthpieces.com'}, {u'Domain': u'lightinfo.org', u'Title': u'lightinfo.org'}, {u'Domain': u'lionkhat.com', u'Title': u'lionkhat.com'}, {u'Domain': u'miesencorp.com', u'Title': u'miesencorp.com'}, {u'Domain': u'mobilehomeparks4sale.us', u'Title': u'mobilehomeparks4sale.us'}, {u'Domain': u'motionforyou.com', u'Title': u'motionforyou.com'}, {u'Domain': u'pbpropertymgt.com', u'Title': u'pbpropertymgt.com'}, {u'Domain': u'renseradio.com', u'Title': u'renseradio.com'}, {u'Domain': u'thehostpros.com', u'Title': u'thehostpros.com'}, {u'Domain': u'ufotheatre.com', u'Title': u'ufotheatre.com'}, {u'Domain': u'utahpublicautoauction.com', u'Title': u'utahpublicautoauction.com'}, {u'Domain': u'webbiennial.org', u'Title': u'webbiennial.org'}]}",Provides UFO talk and political intrigue all seven nights a week along with special guests.,10-Mar-1999,The Jeff Rense Program,27086,1.33,1.31,DataUrl
"Golden Dawn - Astoria, NY",Hate Music & Neo-Nazi,https://xaameriki.wordpress.com/,147,,,,xaameriki.wordpress.com/,3298036,0,1,DataUrl
www.wpww.net/,Hate Music & Neo-Nazi,https://www.wpww.net/,11,,,26-Apr-2002,wpww.net/,9080733,0,1,
White Knights of the Ku Klux Klan of America,KKK,https://www.whiteknightsofthekukluxklanofamerica.com/,,,,,whiteknightsofthekukluxklanofamerica.com/,,,,
VDARE,White Nationalist,https://www.vdare.com,3193,"{u'OwnedDomain': {u'Domain': u'vdare.org', u'Title': u'vdare.org'}}",,,VDARE,83182,0.57,2.6,DataUrl
United Riot Records,Hate Music & Neo-Nazi,https://www.tumblr.com/search/united%20riot%20records,1217499,,"A free blog hosting platform offering customizable templates, bookmarklets, photos, mobile apps, and social network integration.",,Tumblr,54,"1,890",6.320,"tumblr.com, 78.media.tumblr.com, 68.media.tumblr.com, sssvitlans.tumblr.com, vtt.tumblr.com, media.tumblr.com, vt.tumblr.com, meetslut.tumblr.com, evelinsuarez.tumblr.com, 24.media.tumblr.com, 25.media.tumblr.com, 40.media.tumblr.com, static.tumblr.com, sin-mesias.tumblr.com, 38.media.tumblr.com, action.tumblr.com, nakedrugby.tumblr.com, 31.media.tumblr.com, OTHER"
Occidental Quarterly,White Nationalist,https://www.toqonline.com/,431,,,,toqonline.com/,872536,0.03,3.3,DataUrl
Stormfront,White Nationalist,https://www.stormfront.org/forum/,4325,"{u'OwnedDomain': {u'Domain': u'martinlutherking.org', u'Title': u'martinlutherking.org'}}","White supremacist organization seeking to advance Western culture and ideals, and freedom of speech and association. Also serves as a forum for planning strategies and forming political and social groups.",11-Jan-1995,Stormfront,32006,1.7,4.9,DataUrl
